               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.029031,            0.034518,           0.0038368,             0.63405,             0.70106,             0.70199,             0.45586,            0.025285,            0.020073,            0.011644,           0.0078022,           0.0078022,           0.0078022
                 113,            0.028293,            0.033666,           0.0044817,             0.64731,             0.60306,             0.63568,             0.39703,            0.026216,             0.02141,            0.012996,           0.0077824,           0.0077824,           0.0077824
                 114,            0.029152,            0.034151,           0.0039033,             0.61584,             0.63517,             0.63964,             0.41151,            0.025324,            0.022032,            0.011592,           0.0077626,           0.0077626,           0.0077626
                 115,            0.029575,            0.033302,           0.0044439,             0.72345,             0.63387,             0.67628,             0.42065,            0.025203,            0.021705,            0.022335,           0.0077428,           0.0077428,           0.0077428
                 116,            0.029113,            0.034145,           0.0041765,              0.5986,             0.54913,             0.57879,             0.35024,            0.025213,            0.021166,            0.026521,            0.007723,            0.007723,            0.007723
                 117,            0.029301,            0.033681,           0.0039999,             0.61909,             0.64163,             0.64857,              0.3968,            0.025939,            0.021245,            0.023881,           0.0077032,           0.0077032,           0.0077032
                 118,             0.02858,             0.03363,           0.0041936,             0.62201,             0.68437,             0.68087,             0.43532,            0.026115,            0.020369,            0.011335,           0.0076834,           0.0076834,           0.0076834
                 119,            0.029579,            0.033197,           0.0042359,             0.62004,             0.64264,             0.64248,             0.40653,            0.026012,            0.020347,            0.017972,           0.0076636,           0.0076636,           0.0076636
                 120,            0.027898,            0.032527,           0.0037058,             0.59648,              0.6892,             0.62756,             0.38122,            0.026298,            0.021201,            0.019001,           0.0076438,           0.0076438,           0.0076438
                 121,            0.028269,            0.032683,           0.0037519,             0.67586,             0.61355,             0.67121,             0.42308,            0.025757,              0.0214,            0.018299,            0.007624,            0.007624,            0.007624
                 122,            0.027821,            0.033057,           0.0036193,             0.74561,             0.63581,             0.67503,             0.43387,            0.025552,             0.02112,            0.014844,           0.0076042,           0.0076042,           0.0076042
                 123,             0.02907,            0.032465,           0.0040158,             0.66942,             0.66655,              0.6732,             0.40943,            0.026327,            0.021811,            0.015431,           0.0075844,           0.0075844,           0.0075844
                 124,            0.027784,            0.034112,            0.004141,             0.72317,             0.62316,             0.67756,             0.43715,            0.025596,             0.02097,            0.012283,           0.0075646,           0.0075646,           0.0075646
                 125,            0.027603,            0.033264,           0.0038348,              0.6245,             0.68267,             0.68199,             0.41336,            0.025846,             0.02175,            0.015888,           0.0075448,           0.0075448,           0.0075448
                 126,             0.02698,            0.033158,           0.0037022,             0.62318,             0.66455,             0.67513,             0.42937,            0.025566,            0.021075,            0.023698,            0.007525,            0.007525,            0.007525
                 127,            0.028714,            0.033546,           0.0040456,             0.71864,             0.57002,             0.66994,             0.41648,            0.024523,            0.021404,            0.011453,           0.0075052,           0.0075052,           0.0075052
                 128,            0.027792,            0.032613,           0.0038143,             0.75436,             0.61401,             0.68451,             0.41746,            0.025965,            0.020766,            0.010672,           0.0074854,           0.0074854,           0.0074854
                 129,            0.028379,            0.032611,            0.003508,             0.75083,             0.57972,             0.70335,             0.43241,            0.025588,            0.021863,            0.019112,           0.0074656,           0.0074656,           0.0074656
                 130,            0.027642,            0.031939,           0.0041089,             0.83775,             0.57871,             0.70624,             0.43034,            0.024736,            0.020659,             0.01008,           0.0074458,           0.0074458,           0.0074458
                 131,            0.027267,            0.031978,           0.0040065,             0.71362,             0.63901,             0.70546,             0.44708,            0.025172,             0.02094,            0.012968,            0.007426,            0.007426,            0.007426
                 132,            0.028008,            0.033471,           0.0042461,             0.70789,             0.69765,             0.70566,             0.45381,            0.025075,            0.020127,            0.022498,           0.0074062,           0.0074062,           0.0074062
                 133,            0.027208,            0.031633,           0.0034313,             0.80321,             0.64528,             0.70607,             0.44063,            0.024836,            0.021963,            0.011891,           0.0073864,           0.0073864,           0.0073864
                 134,            0.028169,            0.031683,           0.0041162,             0.67973,              0.6657,               0.678,             0.41996,            0.025404,            0.021099,            0.014694,           0.0073666,           0.0073666,           0.0073666
                 135,            0.027688,             0.03191,           0.0036944,             0.57963,             0.72009,             0.64207,             0.39117,            0.025463,            0.021687,             0.01366,           0.0073468,           0.0073468,           0.0073468
                 136,            0.027389,             0.03125,           0.0034918,             0.73144,             0.65396,             0.68165,             0.41491,            0.024648,            0.021352,             0.01089,            0.007327,            0.007327,            0.007327
                 137,            0.027079,            0.030796,           0.0038317,             0.73696,             0.63738,             0.67828,             0.44039,            0.024605,            0.022245,            0.014035,           0.0073072,           0.0073072,           0.0073072
                 138,            0.026963,            0.031397,           0.0033228,             0.61501,             0.70555,             0.69928,             0.44829,            0.023884,              0.0202,            0.015179,           0.0072874,           0.0072874,           0.0072874
                 139,             0.02753,             0.03256,           0.0033846,             0.71979,             0.61859,             0.67698,             0.43891,            0.023859,            0.021498,            0.017962,           0.0072676,           0.0072676,           0.0072676
                 140,            0.027484,            0.031778,           0.0040874,             0.70162,             0.58221,             0.65926,             0.40845,            0.024913,            0.021984,            0.024438,           0.0072478,           0.0072478,           0.0072478
                 141,            0.027191,            0.030805,           0.0043334,             0.70373,               0.614,             0.63498,             0.39097,            0.025599,             0.02204,            0.017436,            0.007228,            0.007228,            0.007228
                 142,            0.027397,            0.031903,           0.0039821,             0.62581,             0.68415,             0.69043,             0.44095,            0.025532,            0.020755,            0.014015,           0.0072082,           0.0072082,           0.0072082
                 143,            0.026936,            0.031632,           0.0038824,             0.64287,             0.65659,              0.6871,             0.45528,            0.025181,            0.020994,            0.021002,           0.0071884,           0.0071884,           0.0071884
                 144,            0.027601,            0.031385,           0.0036903,             0.60988,             0.67223,             0.64786,             0.43616,            0.024154,            0.021438,             0.01961,           0.0071686,           0.0071686,           0.0071686
                 145,            0.026833,            0.031224,           0.0033649,             0.71003,             0.61019,             0.66378,             0.42686,            0.023791,            0.021374,            0.018695,           0.0071488,           0.0071488,           0.0071488
                 146,            0.026893,            0.031482,           0.0033661,             0.65164,             0.58139,             0.63712,             0.40668,            0.024526,            0.021444,            0.021811,            0.007129,            0.007129,            0.007129
                 147,            0.026124,            0.031421,           0.0035849,              0.6981,             0.61664,             0.65408,             0.41229,            0.024908,            0.022252,             0.01177,           0.0071092,           0.0071092,           0.0071092
                 148,            0.027413,            0.031968,           0.0032407,             0.65357,             0.66406,             0.66141,             0.42577,            0.024524,            0.021521,            0.019246,           0.0070894,           0.0070894,           0.0070894
                 149,            0.026425,            0.031104,           0.0031589,             0.66192,             0.59851,             0.64199,             0.41927,             0.02451,            0.020767,            0.017465,           0.0070696,           0.0070696,           0.0070696
                 150,            0.027066,            0.031949,           0.0037824,             0.66342,             0.62668,             0.65394,             0.41389,            0.024789,            0.021257,            0.016709,           0.0070498,           0.0070498,           0.0070498
                 151,            0.026713,            0.030993,             0.00375,             0.70839,             0.63714,             0.66272,              0.4223,             0.02483,            0.021366,            0.012942,             0.00703,             0.00703,             0.00703
                 152,            0.027443,            0.030888,            0.003731,             0.67607,             0.66983,             0.69227,             0.44071,            0.024951,            0.020752,            0.014449,           0.0070102,           0.0070102,           0.0070102
                 153,            0.026117,             0.03098,           0.0035353,             0.74719,             0.63825,             0.68302,             0.44825,            0.024737,            0.020564,            0.020065,           0.0069904,           0.0069904,           0.0069904
                 154,             0.02701,            0.031545,           0.0034794,             0.69454,             0.64836,             0.65726,             0.43754,            0.024293,            0.022182,            0.018079,           0.0069706,           0.0069706,           0.0069706
                 155,            0.025896,            0.030387,           0.0030421,             0.71952,             0.61963,             0.67071,             0.43208,             0.02474,            0.020829,            0.011792,           0.0069508,           0.0069508,           0.0069508
                 156,            0.026198,            0.030575,           0.0037842,             0.70862,             0.62088,             0.65719,             0.42754,            0.026298,            0.020914,            0.014985,            0.006931,            0.006931,            0.006931
                 157,            0.026139,            0.031833,            0.003785,             0.69716,              0.6708,              0.6957,             0.42071,             0.02612,            0.021492,            0.011426,           0.0069112,           0.0069112,           0.0069112
